Hours_Worked,Sleep_Hours,Bugs,Deadline_Days,Coffee_Cups,Meetings,Interruptions,Experience_Years,Code_Complexity,Remote_Work,Stress_Level,,,,,,,,,,,,,,
4,7,29,7,0,8,10,Junior,Low,No,53.05738727,,,,,,,,,,,,,,
11,7,22,58,2,8,1,Senior,Low,No,49.86791681,,,,,,,,,,,,,,
7,7,50,4,4,17,7,Mid,High,Yes,100,,,,,,,,,,,,,,
9,4,18,47,4,9,5,Mid,Medium,Yes,100,,,,,,,,,,,,,,
11,4,31,25,8,20,3,Senior,Low,No,100,,,,,,,,,,,,,,
7,5,29,17,9,3,4,Senior,Low,Yes,56.18322947,,,,,,,,,,,,,,
5,9,11,19,,16,,,Medium,No,96.12,,,,,,,,,,,,,,
6,3,28,5,1,11,7,Senior,Medium,Yes,100,,,,,,,,,,,,,,
12,7,48,36,1,7,2,Senior,Medium,No,63.23306819,,,,,,,,,,,,,,
6,8,44,59,5,1,2,Mid,Medium,No,16.39667274,,,,,,,,,,,,,,
11,4,32,22,4,12,9,Mid,Low,Yes,,,,,,,,,,,,,,,
12,3,28,47,8,12,10,Junior,Low,Yes,100,,,,,,,,,,,,,,
5,8,29,12,0,20,3,Junior,Low,No,26.48504831,,,,,,,,,,,,,,
5,3,15,27,8,15,0,Junior,Low,Yes,100,,,,,,,,,,,,,,
5,5,39,4,8,1,8,Junior,Medium,Yes,99.50487824,,,,,,,,,,,,,,
9,7,18,12,8,10,7,Mid,High,No,67.5007622,,,,,,,,,,,,,,
6,7,17,16,4,9,7,Senior,Low,Yes,50.09987323,,,,,,,,,,,,,,
12,6,0,49,8,14,9,Senior,Low,Yes,99.7000922,,,,,,,,,,,,,,
7,8,13,39,10,16,5,Junior,Medium,No,48.43141559,,,,,,,,,,,,,,
4,3,50,44,3,7,6,Senior,Medium,No,100,,,,,,,,,,,,,,
7,3,46,31,1,17,5,Junior,Medium,No,100,,,,,,,,,,,,,,
4,4,49,28,5,8,8,Senior,Low,Yes,100,,,,,,,,,,,,,,
8,6,1,50,3,7,2,Senior,Medium,No,18.84682984,,,,,,,,,,,,,,
7,4,27,57,5,13,2,Senior,Low,No,100,,,,,,,,,,,,,,
11,4,48,2,2,17,2,Junior,Low,No,100,,,,,,,,,,,,,,
11,4,49,55,5,19,9,Mid,Low,No,100,,,,,,,,,,,,,,
10,8,29,39,1,19,2,Senior,High,Yes,60.74688275,,,,,,,,,,,,,,
6,8,37,33,1,20,8,Junior,High,Yes,83.38227892,,,,,,,,,,,,,,
4,5,50,39,8,11,3,Senior,Medium,No,61.69193516,,,,,,,,,,,,,,
4,5,3,26,6,18,6,Senior,Medium,Yes,83.53626134,,,,,,,,,,,,,,
15,4,0,12,2,13,8,Mid,Medium,No,100,,,,,,,,,,,,,,
14,6,7,44,10,16,10,Mid,High,No,100,,,,,,,,,,,,,,
6,3,28,32,0,20,6,Junior,High,Yes,100,,,,,,,,,,,,,,
9,8,38,5,7,2,8,Senior,High,Yes,82.03671036,,,,,,,,,,,,,,
10,6,2,23,5,6,2,Junior,Medium,No,55.99892626,,,,,,,,,,,,,,
9,7,31,18,6,16,3,Junior,High,No,69.08954705,,,,,,,,,,,,,,
9,8,9,15,8,11,7,Junior,Low,Yes,70.8227702,,,,,,,,,,,,,,
9,8,9,39,4,8,5,Junior,Low,No,56.22591279,,,,,,,,,,,,,,
6,5,18,27,0,14,4,Senior,Medium,Yes,65.19374587,,,,,,,,,,,,,,
9,3,45,32,9,17,3,Mid,Low,No,100,,,,,,,,,,,,,,
11,3,33,58,6,20,7,Junior,High,No,100,,,,,,,,,,,,,,
14,7,32,58,4,12,0,Senior,High,Yes,53.22669788,,,,,,,,,,,,,,
14,7,22,47,2,20,8,Mid,Medium,Yes,100,,,,,,,,,,,,,,
5,8,27,40,8,7,0,Junior,Medium,Yes,3.226347846,,,,,,,,,,,,,,
8,4,31,12,0,13,7,Senior,High,Yes,100,,,,,,,,,,,,,,
4,5,49,42,0,7,3,Mid,Low,Yes,49.20736828,,,,,,,,,,,,,,
15,5,6,44,0,13,8,Senior,Medium,Yes,100,,,,,,,,,,,,,,
15,3,20,37,5,,10,Mid,Medium,,29.58,,,,,,,,,,,,,,
4,8,28,24,2,6,10,Senior,Low,Yes,34.53569849,,,,,,,,,,,,,,
8,6,7,52,5,11,4,Senior,High,No,51.6730336,,,,,,,,,,,,,,
15,4,0,41,9,10,2,Senior,Low,No,100,,,,,,,,,,,,,,
6,8,2,35,10,10,8,Senior,Low,No,33.86406294,,,,,,,,,,,,,,
7,4,23,26,2,12,10,Mid,Medium,Yes,100,,,,,,,,,,,,,,
6,4,22,37,7,17,8,Senior,Medium,Yes,100,,,,,,,,,,,,,,
4,4,7,59,9,1,3,Junior,Medium,Yes,100,,,,,,,,,,,,,,
4,8,46,6,1,20,10,Senior,High,No,100,,,,,,,,,,,,,,
15,5,36,4,8,14,3,Mid,High,Yes,100,,,,,,,,,,,,,,
15,5,2,42,2,19,7,Senior,Medium,Yes,100,,,,,,,,,,,,,,
8,4,50,44,4,17,1,Mid,Medium,No,100,,,,,,,,,,,,,,
9,6,32,57,9,14,8,Senior,Medium,Yes,100,,,,,,,,,,,,,,
6,3,27,56,7,18,5,Junior,Medium,No,100,,,,,,,,,,,,,,
15,8,46,50,1,11,8,Mid,High,No,86.52189651,,,,,,,,,,,,,,
12,3,7,30,5,12,7,Mid,Medium,Yes,100,,,,,,,,,,,,,,
8,6,33,22,4,10,6,Mid,Low,Yes,68.7715655,,,,,,,,,,,,,,
11,8,34,41,9,4,0,Senior,Medium,Yes,43.41027522,,,,,,,,,,,,,,
4,4,31,9,8,0,2,Senior,High,No,98.91857002,,,,,,,,,,,,,,
8,5,23,31,4,2,10,Mid,High,No,72.22108505,,,,,,,,,,,,,,
6,3,13,42,1,18,1,Senior,Low,No,100,,,,,,,,,,,,,,
15,7,31,52,4,6,4,Senior,Medium,Yes,62.15307065,,,,,,,,,,,,,,
8,5,27,18,6,2,5,Mid,High,,22.7,,,,,,,,,,,,,,
4,7,45,29,3,11,4,Junior,High,Yes,26.64157707,,,,,,,,,,,,,,
7,6,42,38,10,14,4,Mid,Medium,Yes,47.40126275,,,,,,,,,,,,,,
8,4,15,30,6,4,3,Mid,High,Yes,100,,,,,,,,,,,,,,
10,3,3,17,5,14,4,Junior,Low,No,100,,,,,,,,,,,,,,
4,4,36,35,1,7,2,Mid,Medium,No,100,,,,,,,,,,,,,,
6,3,20,1,10,9,0,Senior,Low,No,100,,,,,,,,,,,,,,
5,6,13,13,10,15,4,Mid,Low,No,33.79629138,,,,,,,,,,,,,,
12,6,30,12,4,7,8,Senior,High,Yes,82.33248162,,,,,,,,,,,,,,
13,7,47,28,6,0,8,Senior,High,Yes,45.93190939,,,,,,,,,,,,,,
9,4,17,11,10,11,3,Junior,Medium,Yes,100,,,,,,,,,,,,,,
13,8,6,38,6,4,2,Junior,Low,No,40.05870574,,,,,,,,,,,,,,
6,7,9,1,4,2,0,Junior,High,No,100,,,,,,,,,,,,,,
11,4,6,31,8,0,1,Mid,High,Yes,100,,,,,,,,,,,,,,
11,7,32,12,3,3,7,Mid,High,Yes,65.26666487,,,,,,,,,,,,,,
5,8,22,45,10,7,0,Junior,Medium,No,0.842341955,,,,,,,,,,,,,,
7,3,30,26,6,,2,Junior,Medium,Yes,87.97,,,,,,,,,,,,,,
9,5,20,26,2,2,7,Mid,Low,Yes,75.90473147,,,,,,,,,,,,,,
10,5,18,48,3,9,6,Mid,Low,No,100,,,,,,,,,,,,,,
5,5,47,40,4,1,7,Senior,High,No,55.94280494,,,,,,,,,,,,,,
14,5,18,16,5,10,5,Mid,Low,No,91.58486636,,,,,,,,,,,,,,
13,3,35,39,2,9,8,Junior,Medium,Yes,100,,,,,,,,,,,,,,
5,5,28,30,1,20,2,Junior,Medium,Yes,59.35586469,,,,,,,,,,,,,,
13,8,17,33,3,13,9,Junior,High,No,100,,,,,,,,,,,,,,
4,6,1,59,4,6,3,Mid,Medium,Yes,17.17019403,,,,,,,,,,,,,,
11,6,0,23,3,1,5,Mid,Medium,No,33.57221912,,,,,,,,,,,,,,
4,3,46,44,10,8,7,Junior,Medium,No,100,,,,,,,,,,,,,,
12,5,4,34,2,15,4,Senior,Medium,No,100,,,,,,,,,,,,,,
14,5,19,47,7,12,2,Mid,High,No,96.86498099,,,,,,,,,,,,,,
9,5,10,5,9,8,5,Senior,High,Yes,100,,,,,,,,,,,,,,
10,7,41,18,3,19,3,Mid,High,No,75.41905153,,,,,,,,,,,,,,
13,4,1,29,1,3,8,Mid,Medium,No,100,,,,,,,,,,,,,,
10,7,2,6,1,9,2,Mid,Medium,Yes,55.22186446,,,,,,,,,,,,,,
13,4,22,9,0,11,3,Senior,Medium,No,100,,,,,,,,,,,,,,
6,5,11,40,3,16,6,Senior,High,No,84.70287694,,,,,,,,,,,,,,
5,5,19,31,9,13,6,Mid,High,Yes,77.15332591,,,,,,,,,,,,,,
12,7,4,33,8,13,3,Senior,High,Yes,55.37575332,,,,,,,,,,,,,,
11,7,36,27,10,1,5,Junior,Medium,Yes,56.1839821,,,,,,,,,,,,,,
15,4,37,59,6,20,2,Junior,Medium,No,100,,,,,,,,,,,,,,
13,6,29,14,9,19,5,Junior,Medium,Yes,100,,,,,,,,,,,,,,
10,4,8,29,6,10,1,Junior,Medium,Yes,100,,,,,,,,,,,,,,
12,7,33,36,6,15,7,Senior,Medium,No,97.23648305,,,,,,,,,,,,,,
7,8,43,28,7,18,1,Mid,Low,No,17.69574057,,,,,,,,,,,,,,
7,7,34,21,0,5,10,Mid,Low,No,33.35398185,,,,,,,,,,,,,,
4,8,21,3,9,18,6,Mid,Medium,No,100,,,,,,,,,,,,,,
11,3,30,27,7,,,Senior,,No,64.4,,,,,,,,,,,,,,
11,3,43,19,9,4,8,Junior,Medium,No,100,,,,,,,,,,,,,,
15,7,23,31,7,3,0,Senior,Medium,Yes,40.67826782,,,,,,,,,,,,,,
6,3,16,35,3,14,7,Senior,Low,Yes,100,,,,,,,,,,,,,,
10,6,9,49,3,3,6,Senior,Medium,Yes,55.21234559,,,,,,,,,,,,,,
15,4,29,3,3,19,5,Junior,High,No,100,,,,,,,,,,,,,,
5,8,45,26,5,9,5,Senior,Medium,No,30.26039911,,,,,,,,,,,,,,
5,4,22,16,6,2,5,Senior,Medium,No,100,,,,,,,,,,,,,,
10,3,31,11,5,4,8,Mid,High,Yes,100,,,,,,,,,,,,,,
9,8,16,21,0,5,1,Senior,Low,Yes,42.28046805,,,,,,,,,,,,,,
6,4,49,16,7,20,0,Junior,Medium,No,100,,,,,,,,,,,,,,
12,7,50,9,9,7,5,Mid,High,Yes,72.22573191,,,,,,,,,,,,,,
13,5,16,53,10,6,9,Junior,Low,No,100,,,,,,,,,,,,,,
9,3,13,0,6,20,10,Senior,High,Yes,100,,,,,,,,,,,,,,
13,4,8,21,5,9,7,Senior,Medium,Yes,100,,,,,,,,,,,,,,
13,3,39,25,5,5,2,Senior,Medium,Yes,100,,,,,,,,,,,,,,
9,3,1,55,4,13,9,Senior,Medium,No,100,,,,,,,,,,,,,,
4,8,44,58,5,3,0,Senior,High,Yes,3.76421535,,,,,,,,,,,,,,
7,8,24,17,8,12,8,Junior,Medium,Yes,57.87734942,,,,,,,,,,,,,,
13,5,38,49,9,19,0,Senior,Medium,No,82.9733382,,,,,,,,,,,,,,
9,7,8,13,8,16,2,Senior,Medium,Yes,56.70532168,,,,,,,,,,,,,,
9,3,21,46,9,6,7,Junior,Medium,No,100,,,,,,,,,,,,,,
14,4,42,28,7,3,2,Senior,High,No,100,,,,,,,,,,,,,,
15,6,45,11,9,13,3,Mid,Low,No,81.94611168,,,,,,,,,,,,,,
8,3,3,35,8,2,7,Senior,Medium,No,100,,,,,,,,,,,,,,
4,3,25,58,9,4,0,Junior,High,No,100,,,,,,,,,,,,,,
11,5,28,34,7,15,5,Mid,High,Yes,100,,,,,,,,,,,,,,
8,7,44,51,7,19,0,Junior,Low,No,32.29322542,,,,,,,,,,,,,,
15,6,33,60,0,3,0,Mid,High,No,60.35122503,,,,,,,,,,,,,,
15,8,22,11,9,1,7,Junior,Low,No,44.06759338,,,,,,,,,,,,,,
15,8,36,6,10,17,10,Mid,High,No,100,,,,,,,,,,,,,,
8,4,10,28,4,18,3,Senior,Medium,Yes,100,,,,,,,,,,,,,,
10,6,5,10,3,18,0,Senior,High,No,37.4008963,,,,,,,,,,,,,,
7,8,17,32,1,16,9,Mid,Low,Yes,72.76212641,,,,,,,,,,,,,,
9,4,20,5,7,13,6,Senior,Medium,No,100,,,,,,,,,,,,,,
7,7,41,46,2,18,4,Junior,Medium,Yes,50.64904931,,,,,,,,,,,,,,
6,4,35,14,3,12,4,Junior,High,No,100,,,,,,,,,,,,,,
10,8,40,31,6,11,0,Mid,Medium,No,48.21387489,,,,,,,,,,,,,,
11,5,37,50,9,5,9,Senior,Medium,Yes,100,,,,,,,,,,,,,,
7,5,33,10,8,20,10,Mid,Medium,No,100,,,,,,,,,,,,,,
5,5,16,57,1,3,5,Senior,Low,Yes,48.44752625,,,,,,,,,,,,,,
8,10,18,50,,0,10,Senior,Medium,Yes,96.38,,,,,,,,,,,,,,
15,8,36,22,2,18,8,Senior,Low,No,100,,,,,,,,,,,,,,
13,5,24,25,3,15,8,Senior,High,Yes,100,,,,,,,,,,,,,,
6,6,37,33,9,12,7,Junior,Low,No,60.53217053,,,,,,,,,,,,,,
4,7,11,45,0,3,4,Mid,Medium,No,1.284842355,,,,,,,,,,,,,,
11,4,22,33,6,16,0,Junior,Low,Yes,100,,,,,,,,,,,,,,
6,4,41,28,1,0,8,Mid,High,No,100,,,,,,,,,,,,,,
15,8,21,3,4,17,0,Mid,High,No,100,,,,,,,,,,,,,,
6,8,22,25,7,,3,Senior,Low,No,,,,,,,,,,,,,,,
13,5,20,16,0,19,7,Senior,Low,No,100,,,,,,,,,,,,,,
10,5,26,34,2,16,4,Mid,High,No,100,,,,,,,,,,,,,,
13,3,30,12,1,14,2,Senior,Medium,No,100,,,,,,,,,,,,,,
8,7,5,40,0,10,10,Mid,Medium,No,69.92906948,,,,,,,,,,,,,,
13,6,26,38,6,12,6,Senior,Low,Yes,94.12539233,,,,,,,,,,,,,,
8,4,39,14,4,0,6,Mid,Medium,Yes,100,,,,,,,,,,,,,,
10,3,33,54,0,16,8,Senior,High,Yes,100,,,,,,,,,,,,,,
12,3,11,28,5,5,6,Mid,Medium,No,100,,,,,,,,,,,,,,
15,8,44,28,4,3,10,Mid,High,Yes,61.18761703,,,,,,,,,,,,,,
8,4,6,10,2,19,2,Mid,Low,No,100,,,,,,,,,,,,,,
4,8,9,51,6,15,10,Junior,Low,No,69.48153802,,,,,,,,,,,,,,
13,6,44,31,10,14,0,Junior,High,No,64.02256532,,,,,,,,,,,,,,
13,3,16,1,9,14,7,Mid,High,No,100,,,,,,,,,,,,,,
4,3,25,46,8,5,2,Senior,Medium,Yes,100,,,,,,,,,,,,,,
5,7,20,13,8,14,7,Mid,Medium,No,50.02807565,,,,,,,,,,,,,,
9,6,27,19,8,13,7,Senior,Medium,Yes,98.75515444,,,,,,,,,,,,,,
12,3,45,21,1,10,4,Mid,Medium,No,100,,,,,,,,,,,,,,
11,6,1,10,2,6,0,Junior,Medium,Yes,39.87389476,,,,,,,,,,,,,,
8,4,42,26,6,8,9,Mid,Low,Yes,100,,,,,,,,,,,,,,
4,5,0,2,4,15,6,Junior,Low,Yes,100,,,,,,,,,,,,,,
10,3,50,16,1,4,9,Mid,Low,Yes,100,,,,,,,,,,,,,,
8,7,35,43,2,19,4,Mid,Medium,Yes,69.03311723,,,,,,,,,,,,,,
9,4,50,55,9,9,7,Mid,Low,Yes,100,,,,,,,,,,,,,,
10,6,25,27,5,17,8,Senior,Low,No,100,,,,,,,,,,,,,,
6,8,28,28,6,2,10,Junior,Low,Yes,13.92693407,,,,,,,,,,,,,,
15,4,20,20,8,12,6,Mid,High,No,100,,,,,,,,,,,,,,
8,4,28,60,2,4,5,Mid,,No,86.11,,,,,,,,,,,,,,
13,3,10,46,0,10,6,Mid,Medium,Yes,100,,,,,,,,,,,,,,
6,6,39,15,10,16,0,Senior,Medium,No,24.31040983,,,,,,,,,,,,,,
8,5,10,36,6,12,3,Senior,Low,Yes,70.22164047,,,,,,,,,,,,,,
9,4,35,58,7,5,1,Mid,Low,Yes,100,,,,,,,,,,,,,,
12,3,48,19,2,16,1,Mid,Low,No,100,,,,,,,,,,,,,,
15,7,38,5,3,12,1,Junior,Medium,Yes,87.11084545,,,,,,,,,,,,,,
8,8,39,18,9,18,3,Mid,Low,Yes,51.08898072,,,,,,,,,,,,,,
4,6,34,56,5,20,0,Mid,High,Yes,22.97713177,,,,,,,,,,,,,,
